0u, 0
0.001u, 1
20u, 1
20.001u, 0
40u, 0
40.001u, 0
60u, 0
60.001u, 0
80u, 0
80.001u, 0
100u, 0
100.001u, 0
120u, 0
120.001u, 0
140u, 0
140.001u, 0
160u, 0
160.001u, 1
180u, 1
180.001u, 0
200u, 0
200.001u, 0
220u, 0
220.001u, 0
240u, 0
240.001u, 0
260u, 0
260.001u, 0
280u, 0
280.001u, 0
300u, 0
300.001u, 1
320u, 1
320.001u, 0
340u, 0
340.001u, 1
360u, 1
360.001u, 0
380u, 0
380.001u, 1
400u, 1
400.001u, 0
420u, 0
420.001u, 0
440u, 0
440.001u, 1
460u, 1
460.001u, 0
480u, 0
480.001u, 0
500u, 0
500.001u, 1
520u, 1
520.001u, 0
540u, 0
540.001u, 0
560u, 0
560.001u, 0
580u, 0
580.001u, 1
600u, 1
600.001u, 1
620u, 1
620.001u, 1
640u, 1
640.001u, 0
660u, 0
660.001u, 0
680u, 0
680.001u, 0
700u, 0
700.001u, 1
720u, 1
720.001u, 0
740u, 0
740.001u, 1
760u, 1
760.001u, 0
780u, 0
780.001u, 1
800u, 1
800.001u, 0
820u, 0
820.001u, 1
840u, 1
840.001u, 0
860u, 0
860.001u, 0
880u, 0
880.001u, 1
900u, 1
900.001u, 0
920u, 0
920.001u, 0
940u, 0
940.001u, 1
960u, 1
960.001u, 0
980u, 0
980.001u, 0
1000u, 0
1000.001u, 0
1020u, 0
1020.001u, 1
1040u, 1
1040.001u, 1
1060u, 1
1060.001u, 1
1080u, 1
1080.001u, 0
1100u, 0
1100.001u, 0
1120u, 0
1120.001u, 0
1140u, 0
1140.001u, 1
1160u, 1
1160.001u, 0
1180u, 0

